date	place	name	genre	time	price	website
22 Oct 11	Wala Wala Café Bar	Shirlyn and the UnXpected	Pop rock	2130	Free + F&B Charges	http://www.imaginings.com.sg/
23 Oct 11	Crazy Elephant	Jam Session	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
23 Oct 11	Esplanade Outdoor Theatre	Fusion Smusion	Fusion; Smooth Jazz	Various	Free	http://www.esplanade.com/whats_on/programme_info/otw_fusion_smusion/index.jsp
23 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
23 Oct 11	Timbre Substation	Timbre Academy All Stars 	Pop	2145-0030	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
23 Oct 11	Wala Wala Café Bar	Jack & Rai	Pop rock	 -	Free + F&B Charges	http://www.imaginings.com.sg/
24 Oct 11	Balaclava	Wendy & David	classic; jazz	2000	Free + F&B Charges	http://www.imaginings.com.sg/
24 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
24 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
24 Oct 11	Timbre Arts House	Surath & Rene	Pop Rock	2030-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
24 Oct 11	Timbre Old School	Pam & Chris	Pop Rock	1945-2300	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
24 Oct 11	Timbre Substation	Michaela Therese	Jazz	2215-0030	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
25 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
25 Oct 11	Hard Rock Café	Unified	Top 40's; Rock	2030	Free + F&B Charges	http://www.hardrock.com
25 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
25 Oct 11	Tab Singapore	Mel & Khim	Pop	2030	Free + F&B Charges	http://www.tab.com.sg/2011/01/mel-khim/
25 Oct 11	The Pigeonhole	Open Mic (Open)	-	2000	Free + F&B Charges	http://www.facebook.com/the.pigeonhole
25 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
25 Oct 11	Timbre Arts House	53A	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
25 Oct 11	Timbre Old School	Fatt, Shili & Adi	Pop Rock	1945-2300	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
25 Oct 11	Timbre Substation	Goodfellas	Rock	2115-0030	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
25 Oct 11	Wala Wala Café Bar	Tabula	Top 40's; Rock	2130	Free + F&B Charges	http://www.imaginings.com.sg/
26 Oct 11	CM-PB	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
26 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
26 Oct 11	Hard Rock Café	Six In The City ft. Tabula	Rock	2200	Free + F&B Charges	http://www.hardrock.com
26 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
26 Oct 11	Paulaner Brauhaus	Zsa + Claire	Pop; Folk	1900-2100	Free + F&B Charges	http://www.screamquiet.com/
26 Oct 11	Tab Singapore	The Next Movement	Pop; Soul; R&B	2030	Free + F&B Charges	http://www.tab.com.sg/2011/01/the-next-movement/
26 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
26 Oct 11	Timbre Arts House	Enigma	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
26 Oct 11	Timbre Old School	Luthfi & Simon	Pop Rock	1945-2300	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
26 Oct 11	Timbre Substation	Raw Earth	Rock	2115-0030	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
26 Oct 11	Wala Wala Café Bar	Timmy ft. Ngak	Pop rock	2130	Free + F&B Charges	http://www.imaginings.com.sg/
27 Oct 11	Beer Market	Zsa + Claire	Pop; Folk	2130-0045	Free + F&B Charges	http://www.screamquiet.com/
27 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
27 Oct 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
27 Oct 11	Hard Rock Café	Enigma	Acoustic Set	2200	Free + F&B Charges	http://www.hardrock.com
27 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
27 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
27 Oct 11	Timbre Arts House	The Common People	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
27 Oct 11	Timbre Old School	53A	Pop Rock	2015-2330	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
27 Oct 11	Timbre Substation	Goodfellas	Rock	2215-0045	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
27 Oct 11	Wala Wala Café Bar	Shirlyn and the UnXpected	Pop rock	2130	Free + F&B Charges	http://www.imaginings.com.sg/
28 Oct 11	Broun	Cove Red	Singer Songwriter	1930-2130	Free + F&B Charges	http://broun.sg/
28 Oct 11	Crazy Elephant	Crazy Elephant Band	Blues	2200	Free + F&B Charges	http://www.crazyelephant.com/
28 Oct 11	Esplanade Recital Studio	Randolf Arriola	Vitruoso	2130	$25	http://www.sistic.com.sg/portal/dt?dt.isPortletRequest=true&dt.action=process&dt.provider=PortletWindowProcessChannel&dt.windowProvider.targetPortletChannel=JSPTabContainer/sEventsCalendar/Event&dt.containerName=JSPTabContainer/sEventsCalendar&dt.windowProvider.currentChannelMode=VIEW&dt.window.portletAction=RENDER&contentCode=randolf1011
28 Oct 11	Fullerton Bay hotel	Claressa Monteiro	Jazz	1930-2215	Free + F&B Charges	http://www.facebook.com/TheFullertonBayHotel
28 Oct 11	Hard Rock Café	Energy	Rock	2200	Free + F&B Charges	http://www.hardrock.com
28 Oct 11	Hard Rock Café Sentosa	Enigma	Top 40's	2200	Free + F&B Charges	http://www.hardrockhotelsingapore.com/
28 Oct 11	Highlander	Dejavu	Acoustic	2130	Free + F&B Charges	http://www.highlanderasia.com/
28 Oct 11	Paulaner Brauhaus	Zsa + Claire	Pop; Folk	1900-2100	Free + F&B Charges	http://www.screamquiet.com/
28 Oct 11	Tab Singapore	Mel & Khim	Pop	1930	Free + F&B Charges	http://www.tab.com.sg/2011/01/mel-khim/
28 Oct 11	The Pump Room @ Clarke Quay	Jive Talkin'	Pop; Rock; Jazz	2245	Free + F&B Charges	http://www.pumproomasia.com/home.html
28 Oct 11	Timbre Arts House	Goodfellas	Pop Rock	2130-0045	Free + F&B Charges	http://www.timbregroup.asia/timbresg/main.asp
